名称,iconSize,location,size,哑铃,图标,雨色,minPower,太阳药水,雪,thunder,wind
青铜鱼,1.1,池塘,4.5,1.25,,,,,,,
蜗牛,0.6,池塘,2.7,3.7,"<i class=""mdi mdi-snail""></i>",true,,,,,
Cablebiter,0.75,池塘,6,2.8,,,5,true,,,
Blueshimmer,1,池塘,7.8,2.2,,,8,,true,,
Introvero,0.6,池塘,6.2,0.1,,true,14,false,,,
Zapling,0.7,池塘,4.1,1.6,,,17,,,true,
Starcone,0.7,池塘,2.4,3.1,"<i class=""mdi mdi-snail""></i>",,26,,true,,
Phelaria,1.7,池塘,6.4,0.55,,false,38,,false,false,
Coldgil,0.9,池塘,3.7,0.8,,true,50,,,,
Silverbrass,1.15,湖泊,7.1,1.35,,,,,,,
Circlejelly,0.85,湖泊,5.5,1.1,"<i class=""mdi mdi-jellyfish""></i>",,42,true,,,
Woodcrawler,0.7,湖泊,2.8,2.3,"<i class=""mdi mdi-bug""></i>",,55,false,,,
Longdano,1.1,湖泊,4,1.9,,,61,,,,true
Legabara,1.8,湖泊,9.2,0.05,,,78,,,,
Biggiesnail,1.25,湖泊,4.7,0.9,"<i class=""mdi mdi-snail""></i>",true,90,,,,
Sunshine,1,湖泊,5.1,0.2,,,115,true,,true,
Platiglob,1.2,河流,10.3,1.45,,,,,,,
Stormdazer,0.9,河流,9.3,2.2,,true,104,,,true,
河龟,1.15,河流,12,1.1,"<i class=""mdi mdi-turtle""></i>",,128,,false,false,false
溪流蜗牛,0.8,河流,7.2,1.1,"<i class=""mdi mdi-snail""></i>",,145,,,,true
Ralmon,1.5,河流,11.6,2.15,,,170,,,,
Wonelle,1.3,河流,10.8,1.4,,,202,,true,,
Grillgil,0.95,河流,10,1.6,,,217,,,true,
Sleepysoo,0.7,河流,8.5,0.8,,true,244,,,,
Oozior,1.8,河流,14,0.1,,,290,,,,
Paleblob,1.25,海洋,14.6,1.55,,,,,,,
Crystakin,1.3,高山,18.1,1.65,,,,,,,
Shadowbiter,1.35,洞穴,24.5,1.75,,,,,,,
